 i                                 xi                            cos(xi)                                 Di
         0        0.0000000000000000000000000        0.0000000000000000000000000        0.0000000000000000000000000
         1        0.2000000000000000000000000        0.1986693307950612200000000        0.9933466539753061000000000
         2        0.4000000000000000000000000        0.3894183423086505000000000       -0.0990039910183990200000000
         3        0.6000000000000000000000000        0.5646424733950354000000000       -0.1584283572027603000000000
         4        0.8000000000000000000000000        0.7173560908995228000000000        0.0161179164333178150000000
         5        1.0000000000000000000000000        0.8414709848078965000000000        0.0072524778499362740000000
         6        1.2000000000000000000000000        0.9320390859672263000000000       -0.0007764198921153629000000


         n                            Pn(0.1)                            Pn(0.3)                            Pn(0.5)
         1        0.0993346653975306100000000        0.2980039961925918000000000        0.4966733269876530400000000
         2        0.1003247053077146000000000        0.2950338764620399000000000        0.4818227283348932000000000
         3        0.0998494202361063200000000        0.2955091615336481500000000        0.4794463029768518000000000
         4        0.0998252433614563500000000        0.2955236676584381000000000        0.4794221261022018600000000
         5        0.0998328584631987800000000        0.2955204040434057000000000        0.4794253897172343000000000
         6        0.0998335921799968400000000        0.2955201594711397000000000        0.4794255644117100000000000
